date,TargetXGB_scale
2016-01-01 0:00,-120.9839093
2016-01-02 0:00,-0.581430482
2016-01-03 0:00,136.1775456
2016-01-04 0:00,360.2800172
2016-01-05 0:00,-224.9305991
2016-01-06 0:00,322.9101575
2016-01-07 0:00,201.0960054
2016-01-08 0:00,-25.07810177
2016-01-09 0:00,-146.305646
2016-01-10 0:00,-197.8095137
2016-01-11 0:00,53.07014461
2016-01-12 0:00,52.87140352
2016-01-13 0:00,-108.1953617
2016-01-14 0:00,-79.1677306
2016-01-15 0:00,-501.8104769
2016-01-16 0:00,-314.5868688
2016-01-17 0:00,-778.0635129
2016-01-18 0:00,-22.28959987
2016-01-19 0:00,-175.9803144
2016-01-20 0:00,463.2482971
2016-01-21 0:00,778.9404633
2016-01-22 0:00,389.3754817
2016-01-23 0:00,-67.32701448
2016-01-24 0:00,-294.341134
2016-01-25 0:00,56.21537165
2016-01-26 0:00,179.4460638
2016-01-27 0:00,-192.9440373
2016-01-28 0:00,320.2075788
2016-01-29 0:00,55.41774029
2016-01-30 0:00,-199.470262
2016-01-31 0:00,-124.2232141
2016-02-01 0:00,124.1371491
2016-02-02 0:00,2156.513133
2016-02-03 0:00,-293.8952511
2016-02-04 0:00,-49.849598
2016-02-05 0:00,-396.820295
2016-02-06 0:00,-659.0130104
2016-02-07 0:00,-224.1091236
2016-02-08 0:00,-10.35222849
2016-02-09 0:00,-1.777864825
2016-02-10 0:00,53.74029573
2016-02-11 0:00,491.1407355
2016-02-12 0:00,-515.3509984
2016-02-13 0:00,-285.4698937
2016-02-14 0:00,-290.9645806
2016-02-15 0:00,-478.4143182
2016-02-16 0:00,-89.82766489
2016-02-17 0:00,-122.3926438
2016-02-18 0:00,-381.675073
2016-02-19 0:00,203.4728072
2016-02-20 0:00,31.03474328
2016-02-21 0:00,1225.513839
2016-02-22 0:00,392.4566707
2016-02-23 0:00,-113.7601852
2016-02-24 0:00,-59.19488701
2016-02-25 0:00,719.0055937
2016-02-26 0:00,-136.4851172
2016-02-27 0:00,637.8610605
2016-02-28 0:00,50.50048522
2016-02-29 0:00,-26.94538383
2016-03-01 0:00,50.23260297
2016-03-02 0:00,-77.72570169
2016-03-03 0:00,-226.9675875
2016-03-04 0:00,-25.1170124
2016-03-05 0:00,-0.330091815
2016-03-06 0:00,-176.5761403
2016-03-07 0:00,980.6469036
2016-03-08 0:00,706.144552
2016-03-09 0:00,-105.8339836
2016-03-10 0:00,-150.6826605
2016-03-11 0:00,-98.27949038
2016-03-12 0:00,184.4187139
2016-03-13 0:00,886.7420176
2016-03-14 0:00,1358.328613
2016-03-15 0:00,-121.4247067
2016-03-16 0:00,-216.9468657
2016-03-17 0:00,1397.115732
2016-03-18 0:00,-125.6448106
2016-03-19 0:00,34.61960514
2016-03-20 0:00,-272.0037194
2016-03-21 0:00,373.524444
2016-03-22 0:00,-327.4529632
2016-03-23 0:00,-157.1087357
2016-03-24 0:00,35.42717694
2016-03-25 0:00,-20.98626338
2016-03-26 0:00,35.63810325
2016-03-27 0:00,-146.3591243
2016-03-28 0:00,-499.5738498
2016-03-29 0:00,38.78479375
2016-03-30 0:00,-748.1983169
2016-03-31 0:00,41.73290028
2016-04-01 0:00,-119.0823138
2016-04-02 0:00,459.0350736
2016-04-03 0:00,-217.2364697
2016-04-04 0:00,615.118045
2016-04-05 0:00,2196.753938
2016-04-06 0:00,-88.09122755
2016-04-07 0:00,650.9892025
2016-04-08 0:00,26.35442032
2016-04-09 0:00,-416.3211972
2016-04-10 0:00,-335.6169379
2016-04-11 0:00,1231.611064
2016-04-12 0:00,-89.51846234
2016-04-13 0:00,250.8479872
2016-04-14 0:00,155.7227151
2016-04-15 0:00,-220.3723252
2016-04-16 0:00,-104.1408289
2016-04-17 0:00,815.0806296
2016-04-18 0:00,-642.1434136
2016-04-19 0:00,-365.5901776
2016-04-20 0:00,25.63750773
2016-04-21 0:00,196.8564412
2016-04-22 0:00,-167.5149788
